msa,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,year,id
12060,2211//,J,D,0,D,0,D,0,153,47,28,13,21,15,18,6,4,1,1,0,0,0,2007,475
12060,22111/,G,D,0,D,0,D,0,10,2,2,1,0,1,2,1,1,0,0,0,0,0,2007,484
12060,221111,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2007,493
12060,221112,G,D,0,D,0,D,0,5,1,0,0,0,0,2,1,1,0,0,0,0,0,2007,500
12060,221119,B,D,0,D,0,D,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2007,521
12060,22112/,J,D,0,D,0,D,0,143,45,26,12,21,14,16,5,3,1,1,0,0,0,2007,523
12060,221121,E,D,0,D,0,D,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2007,531
12060,221122,I,D,0,D,0,D,0,141,45,26,12,21,14,14,5,3,1,1,0,0,0,2007,539
12060,2212//,G,D,0,D,0,D,0,32,9,2,7,9,3,2,0,0,0,0,0,0,0,2007,551
12060,22121/,G,D,0,D,0,D,0,32,9,2,7,9,3,2,0,0,0,0,0,0,0,2007,559
12060,221210,G,D,0,D,0,D,0,32,9,2,7,9,3,2,0,0,0,0,0,0,0,2007,567
12060,2213//,,H,198,H,2441,H,9752,25,13,7,1,4,0,0,0,0,0,0,0,0,0,2007,575
12060,22131/,,G,93,H,1226,H,5919,18,11,5,1,1,0,0,0,0,0,0,0,0,0,2007,582
12060,221310,,G,93,H,1226,H,5919,18,11,5,1,1,0,0,0,0,0,0,0,0,0,2007,590
12060,22132/,C,S,0,S,0,H,3833,7,2,2,0,3,0,0,0,0,0,0,0,0,0,2007,598
12060,221320,C,S,0,S,0,H,3833,7,2,2,0,3,0,0,0,0,0,0,0,0,0,2007,606
