year,naics,usa_employment
2009,533000,36985
2009,540000,7593367
2009,541000,7593367
2009,550000,2836007
2009,551000,2836007
2009,560000,6935498
2009,561000,6603757
2009,562000,336982
2009,610000,3147697
2009,611000,3147697
2009,620000,16706062
2009,621000,5827762
2009,622000,5506062
2009,623000,2947196
2009,624000,2526170
2009,710000,1952109
2009,711000,430830
2009,712000,128757
2009,713000,1405585
2009,720000,10951139
2009,721000,1725263
2009,722000,9230282
2009,810000,5054123
2009,811000,1130714
2009,812000,1288255
2009,813000,2637656
2009,990000,23009
2010,000000,105038659
2010,110000,124533
2010,113000,34484
2010,114000,7591
2010,115000,87061
2010,210000,389772
2010,211000,82804
2010,212000,140859
2010,213000,173453
2010,220000,608557
2010,221000,608557
2010,230000,5142923
2010,236000,1106100
2010,237000,784380
2010,238000,3254891
2010,310000,10049020
2010,311000,1297928
2010,312000,139170
2010,313000,99672
2010,314000,105230
2010,315000,116934
2010,316000,26479
2010,321000,269776
2010,322000,345497
2010,323000,491042
2010,324000,101913
2010,325000,699053
2010,326000,626053
2010,327000,324648
2010,331000,329749
2010,332000,1205378
2010,333000,872081
2010,334000,874325
2010,335000,324909
2010,336000,1201728
2010,337000,315501
2010,339000,544703
2010,420000,5331879
2010,423000,3007947
2010,424000,2046198
2010,425000,287455
2010,440000,13752706
2010,441000,1554263
2010,442000,417385
2010,443000,406455
2010,444000,1133496
2010,445000,2662800
2010,446000,960550
2010,447000,740951
2010,448000,1505189
2010,451000,539828
2010,452000,2698498
2010,453000,697361
2010,454000,520380
2010,480000,3851798
2010,481000,424665
2010,483000,69682
2010,484000,1171177
2010,485000,436676
2010,486000,44606
2010,487000,23045
2010,488000,578688
2010,492000,520989
2010,493000,645362
2010,510000,3057448
2010,511000,891594
2010,512000,321534
2010,515000,261941
2010,517000,1093363
2010,518000,388504
2010,519000,139250
2010,520000,5706096
2010,521000,22025
2010,522000,2623314
2010,523000,866959
2010,524000,2197703
2010,525000,8439
2010,530000,1901240
2010,531000,1380074
2010,532000,495576
2010,533000,31502
2010,540000,7564578
2010,541000,7564578
2010,550000,2816765
2010,551000,2816765
2010,560000,6886881
2010,561000,6559088
2010,562000,337454
2010,610000,3219003
2010,611000,3219003
2010,620000,16952120
2010,621000,5967661
2010,622000,5494981
2010,623000,3002833
2010,624000,2589427
2010,710000,1943455
2010,711000,428290
2010,712000,125053
2010,713000,1404166
2010,720000,10822370
2010,721000,1707294
2010,722000,9121868
2010,810000,4990850
2010,811000,1098577
2010,812000,1279205
2010,813000,2616035
2010,990000,25540
2011,000000,106188143
2011,110000,123307
2011,113000,34986
2011,114000,7282
2011,115000,86821
2011,210000,428368
2011,211000,88824
2011,212000,147505
2011,213000,201412
2011,220000,606298
2011,221000,606298
2011,230000,4930430
2011,236000,1046435
2011,237000,768110
2011,238000,3121085
2011,310000,10164564
2011,311000,1290822
2011,312000,147208
2011,313000,100093
2011,314000,105263
2011,315000,109172
2011,316000,28401
2011,321000,265903
2011,322000,339209
2011,323000,470274
2011,324000,102527
2011,325000,706483
2011,326000,641859
2011,327000,319097
2011,331000,353640
2011,332000,1253359
2011,333000,915732
2011,334000,870156
2011,335000,325098
2011,336000,1240747
2011,337000,309359
2011,339000,548357
2011,420000,5323657
2011,423000,3023749
2011,424000,2020796
2011,425000,286777
2011,440000,13958754
2011,441000,1581715
2011,442000,413232
